"Area","Unit Name","Run Status Value","Sample Time"
"Ragnar","BE - RPM00820","600 RPM","10/26/2025 04:05:00 PM"
"Ragnar","BB - RPM00819","599 RPM","10/26/2025 04:05:00 PM"
"Ragnar","GE1- L1K01363","Stopped","07/25/2025 07:24:00 AM"
