"Area","Unit Name","Run Status Value","Sample Time"
"Tucanare","MCP BB - S2K00386",,"11/28/2025 08:35:00 AM"
"Tucanare","MCP BE - S2K00385",,"11/28/2025 08:35:00 AM"
"JAU","MCP BE T2R05340",,"11/08/2025 07:10:00 PM"
"JAU","MCP BB T2R05336",,"11/08/2025 07:10:00 PM"
"Cachara","MCP BB - S2K00383","0 RPM","09/26/2025 03:30:00 PM"
"Cachara","MCP BE - S2K00384","500 RPM","09/23/2025 12:50:00 PM"
"JAU","MCA BE S1M07110","Stopped","12/20/2019 11:22:07 AM"
"JAU","MCA BB S1M06677","Stopped","12/20/2019 10:07:01 AM"
