"Area","Unit Name","Run Status Value","Sample Time"
"Arlindo Cavalca","DG1 Vante  SJB01926 C9J00789","0 RPM","04/20/2022 05:24:10 PM"
"Arlindo Cavalca","DG2 Re  SJB01923  C9Z05144","1807 RPM","02/16/2022 02:27:30 PM"
"Josué Fabris","DG2 Re  SJB00761  C9Z05147","0 RPM","10/26/2021 02:36:08 PM"
"Josué Fabris","DG1 Vante - SJB00788 - C9J00793","0 RPM","10/07/2021 11:14:04 PM"
"Herminio Mezomo","DG1 Vante  SJB01925  C9Z05125","0 RPM","08/13/2021 03:33:57 PM"
"Herminio Mezomo","DG2 Re  SJB01921  C9Z05143",,"08/04/2021 09:58:10 AM"
