"Area","Unit Name","Run Status Value","Sample Time"
"Socadora 6451","CAT - HRA01252",,"11/28/2025 08:00:00 AM"
"Esmerilhadora - ETH 6226","Carro 1 - TWM04036","1800 RPM","11/25/2025 09:38:35 AM"
"Vagão de Rejeito - MFS 60B 5981","CAT - JTF18923","1076 RPM","11/23/2025 11:00:00 AM"
"Esmerilhadora - ETH 6226","Carro 4 - TWM04016","1802 RPM","11/17/2025 02:11:13 PM"
"Vagão de Rejeito - MFS 60B 5980","CAT - JTF18913","0 RPM","10/10/2025 10:03:01 AM"
"Socadora 6236","CAT - HRA01139",,"01/06/2025 08:30:00 AM"
"Socadora 6240","Socadora 09-2X - TWM06143","800 RPM","12/04/2024 10:15:00 AM"
"Socadora 6450","CAT - HRA01304","800 RPM","10/15/2024 02:55:00 PM"
"Reguladora 6222","CAT - HRA02905","1704 RPM","07/19/2024 01:20:00 PM"
