"Area","Unit Name","Run Status Value","Sample Time"
"Polvo A","DG2 - 2FW00125","0 RPM","10/30/2025 02:47:37 AM"
"Polvo A","DG3 - 2FW00126","1202 RPM","11/21/2022 01:13:25 PM"
