"Area","Unit Name","Run Status Value","Sample Time"
"LDC Tocantins","BE - T2R05472","602 RPM","10/08/2025 08:25:00 AM"
"LDC Tocantins","BB  - T2R05469","603 RPM","10/08/2025 08:20:00 AM"
"LDC Tocantins","CE  - T2R05471","600 RPM","10/05/2025 07:20:00 PM"
"LDC QUIRIRI","CAT - JSJ04140",,"03/28/2025 06:40:26 PM"
