"Area","Unit Name","Run Status Value","Sample Time"
"Rômulo","CN - T2R06544","1673 RPM","11/13/2025 09:00:00 PM"
"Edivaldo Neto","CN - T2R06550","1714 RPM","10/12/2025 12:00:00 AM"
"Joao Gabriel","CN - T2P02611",,"09/14/2025 02:35:00 PM"
"Coronel Heitor","CN - T2P02301",,"03/19/2024 02:55:00 AM"
