"Area","Unit Name","Run Status Value","Sample Time"
"Marimar XIX","BE - RNY01232","597 RPM","11/28/2025 08:40:01 AM"
"Marimar XIX","BB - RNY01231","600 RPM","11/28/2025 08:40:00 AM"
"BS Geribá","CN BE - RNY00778","1476 RPM","11/27/2025 11:15:00 PM"
"BS Geribá","BE - RNY01422","1434 RPM","11/27/2025 11:15:00 PM"
"BS Geribá","CN BB - RNY00780","1488 RPM","11/27/2025 11:15:00 PM"
"BS Geribá","BB - RNY01681","1477 RPM","11/27/2025 11:15:00 PM"
"Marimar XXI","BB - SDN00350","0 RPM","11/27/2025 08:55:00 PM"
"Marimar XXI","BE - SDN00358","0 RPM","11/27/2025 08:55:00 PM"
