"Area","Unit Name","Run Status Value","Sample Time"
"Queen Tati","ST - RPM01364","1556 RPM","11/28/2025 08:40:00 AM"
"Queen Tati","PS - RPM01365","1564 RPM","11/28/2025 08:30:00 AM"
