"Area","Unit Name","Run Status Value","Sample Time"
"P-66","BCI Bravo - MKH00263","0 RPM","11/28/2025 05:50:00 AM"
"P-66","BCI Alfa - MKH00264","0 RPM","11/28/2025 04:25:00 AM"
