"Area","Unit Name","Run Status Value","Sample Time"
"Comandante Silvano","ZP200881","1642 RPM","05/07/2024 08:40:00 PM"
"Comandante Jesus","ZP200880","1334 RPM","05/07/2024 03:07:09 PM"
"Comandante Assis","ZP200883","1671 RPM","05/06/2023 08:27:53 AM"
